iter	Passed	Remaining
0	0	76
1	1	65
2	2	64
3	2	60
4	3	58
5	3	57
6	4	55
7	4	54
8	5	56
9	6	56
10	6	55
11	7	54
12	8	53
13	8	52
14	9	55
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	44
30	19	44
31	20	43
32	21	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	30	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	50	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	56	4
93	58	3
94	59	3
95	61	2
96	61	1
97	63	1
98	64	0
99	65	0
